Product ID,Product Name,Category,Brand Score,Cost Price (cp),Selling Price (sp),Days to Expire,Demand Factor,Quantity Left,Discount (%),Adjusted Price
P02760,Fish Fillet,Meat,1,57.55,70.79,1,0.52,468,23.37,54.25
P02761,Sausage,Meat,4,18.55,20.73,12,0.86,95,8.46,18.98
P02762,Cream,Dairy,5,19.04,25.93,9,0.4,48,13.65,22.39
P02763,Ice Cream,Frozen,4,64.6,95.78,4,0.57,267,17.07,79.43
P02764,Cheese,Dairy,5,47.71,68.76,8,0.63,163,12.33,60.28
P02765,Bagel,Bakery,2,76.1,84.22,5,0.76,202,17.01,69.89
P02766,Bagel,Bakery,5,44.6,52.11,12,0.66,58,9.06,47.39
P02767,Banana,Produce,4,28.37,38.21,19,0.65,497,5.1,36.26
P02768,Banana,Produce,3,30.12,36.42,14,0.7,14,9.6,32.92
P02769,Pork Chops,Meat,2,62.14,83.46,15,0.41,253,12.66,72.89
P02770,Lettuce,Produce,4,48.07,71.88,10,0.25,234,15.45,60.77
P02771,Frozen Fries,Frozen,4,53.6,71.02,18,0.83,244,4.23,68.02
P02772,Bagel,Bakery,3,60.32,82.89,19,0.43,151,8.28,76.03
P02773,Cream,Dairy,2,82.25,116.86,10,0.29,246,17.49,96.42
P02774,Banana,Produce,4,56.71,76.67,7,0.52,307,15.27,64.96
P02775,Frozen Fries,Frozen,1,99.75,121.41,19,0.63,145,8.88,110.63
P02776,Muffin,Bakery,1,81.31,94.86,17,0.84,458,8.49,86.81
P02777,Cheese,Dairy,2,20.64,30.03,2,0.33,81,23.13,23.08
P02778,Chicken Breast,Meat,4,46.02,60.8,2,0.21,288,21.81,47.54
P02779,Banana,Produce,5,85.02,105.72,4,0.82,10,13.62,91.32
P02780,Frozen Fries,Frozen,5,60.0,87.0,2,0.46,166,18.36,71.03
P02781,Frozen Fries,Frozen,2,65.7,91.64,9,0.87,390,13.02,79.71
P02782,Cream,Dairy,3,47.44,68.61,1,0.32,238,22.77,52.99
P02783,Bread,Bakery,1,10.06,11.25,12,0.78,399,12.78,9.81
P02784,Chicken Breast,Meat,5,89.97,126.99,12,0.72,18,8.52,116.17
P02785,Bagel,Bakery,3,18.74,22.57,19,0.35,234,9.0,20.54
P02786,Frozen Vegetables,Frozen,4,50.39,56.47,16,0.93,477,4.83,53.74
P02787,Milk,Dairy,5,52.49,66.44,2,0.22,333,20.52,52.81
P02788,Carrot,Produce,3,89.97,103.39,8,0.42,161,16.62,86.21
P02789,Muffin,Bakery,2,64.13,94.61,13,0.59,350,12.54,82.75
P02790,Bagel,Bakery,5,91.21,114.96,12,0.33,491,12.03,101.13
P02791,Butter,Dairy,2,80.87,93.03,11,0.93,322,10.98,82.82
P02792,Frozen Berries,Frozen,4,22.32,32.88,6,0.35,447,17.55,27.11
P02793,Spinach,Produce,5,10.71,12.79,10,0.55,25,11.55,11.31
P02794,Bagel,Bakery,3,53.24,66.84,18,0.43,412,9.03,60.8
P02795,Muffin,Bakery,5,30.06,38.32,6,0.28,431,16.98,31.81
P02796,Lettuce,Produce,2,38.13,49.4,3,0.98,157,16.53,41.23
P02797,Muffin,Bakery,2,19.15,26.44,20,0.25,389,10.35,23.7
P02798,Carrot,Produce,2,69.26,102.41,3,0.94,408,16.89,85.11
P02799,Minced Beef,Meat,2,67.0,86.12,6,0.54,148,18.24,70.41
P02800,Frozen Fries,Frozen,2,65.57,86.7,11,0.64,97,13.59,74.92
P02801,Lettuce,Produce,3,25.33,36.39,5,0.77,170,15.72,30.67
P02802,Butter,Dairy,1,97.97,120.61,12,0.69,239,13.59,104.22
P02803,Milk,Dairy,3,92.46,121.27,2,0.49,316,20.49,96.42
P02804,Cheese,Dairy,4,50.87,61.44,8,0.81,336,11.91,54.12
P02805,Banana,Produce,2,36.78,53.31,10,0.29,414,17.49,43.99
P02806,Chicken Breast,Meat,3,62.25,85.96,19,0.57,143,7.02,79.93
P02807,Donut,Bakery,2,13.3,15.86,17,0.63,123,9.18,14.4
P02808,Spinach,Produce,5,29.6,33.54,3,0.75,132,15.0,28.51
P02809,Frozen Fries,Frozen,2,48.44,54.01,16,0.6,465,10.2,48.5
P02810,Lettuce,Produce,1,41.74,48.82,18,0.58,14,10.08,43.9
P02811,Donut,Bakery,4,26.56,36.49,11,0.35,237,13.8,31.45
P02812,Bagel,Bakery,3,84.86,100.57,11,0.78,257,11.13,89.38
P02813,Frozen Pizza,Frozen,1,56.07,81.04,12,0.54,254,14.94,68.93
P02814,Banana,Produce,3,88.24,114.59,16,0.55,203,9.45,103.76
P02815,Lettuce,Produce,4,63.0,70.95,10,0.38,426,14.28,60.82
P02816,Minced Beef,Meat,5,64.41,77.47,13,0.7,230,7.95,71.31
P02817,Muffin,Bakery,1,64.86,86.27,1,0.75,67,21.3,67.89
P02818,Cream,Dairy,5,59.87,77.34,19,0.21,473,7.86,71.26
P02819,Tomato,Produce,3,24.74,34.18,18,0.68,349,6.78,31.86
P02820,Frozen Vegetables,Frozen,3,25.32,30.84,9,0.79,273,12.54,26.97
P02821,Frozen Vegetables,Frozen,5,77.6,113.33,20,0.78,308,1.98,111.09
P02822,Bagel,Bakery,2,60.49,87.76,16,0.46,373,11.46,77.7
P02823,Frozen Vegetables,Frozen,5,21.38,27.95,4,0.87,36,13.17,24.27
P02824,Apple,Produce,1,49.7,66.28,18,0.69,469,9.09,60.26
P02825,Yogurt,Dairy,3,57.59,67.67,20,0.93,241,3.03,65.62
P02826,Butter,Dairy,1,93.36,130.73,17,0.44,144,12.09,114.92
P02827,Bread,Bakery,3,81.53,96.4,16,0.81,91,7.11,89.55
P02828,Frozen Berries,Frozen,5,19.43,22.79,7,0.71,117,12.36,19.97
P02829,Frozen Fries,Frozen,3,77.68,111.83,4,0.82,305,16.02,93.91
P02830,Lettuce,Produce,4,85.09,96.31,11,0.66,464,11.01,85.71
P02831,Cream,Dairy,5,66.72,77.85,4,0.56,305,15.96,65.43
P02832,Cheese,Dairy,3,23.3,33.66,14,0.67,123,9.87,30.34
P02833,Bread,Bakery,3,77.01,101.3,1,0.8,247,18.45,82.61
P02834,Cheese,Dairy,2,21.39,26.9,4,0.3,133,21.9,21.01
P02835,Frozen Pizza,Frozen,1,32.38,46.73,5,0.88,252,17.13,38.73
P02836,Croissant,Bakery,3,41.46,49.64,14,0.23,40,13.83,42.77
P02837,Frozen Vegetables,Frozen,5,81.78,117.95,4,0.23,177,18.93,95.62
P02838,Yogurt,Dairy,3,29.1,37.38,13,0.26,185,14.31,32.03
P02839,Frozen Berries,Frozen,2,44.12,55.63,15,0.26,363,14.01,47.84
P02840,Donut,Bakery,5,46.08,55.21,12,0.39,326,11.49,48.87
P02841,Milk,Dairy,3,59.01,87.93,14,0.27,334,13.47,76.09
P02842,Bagel,Bakery,2,17.74,21.89,13,0.86,132,10.11,19.68
P02843,Frozen Berries,Frozen,5,26.73,33.11,4,0.28,158,18.48,26.99
P02844,Carrot,Produce,5,13.83,15.95,17,0.93,251,2.88,15.49
P02845,Minced Beef,Meat,4,12.54,14.59,20,0.54,402,5.34,13.81
P02846,Sausage,Meat,1,40.88,49.05,6,0.62,203,18.72,39.87
P02847,Muffin,Bakery,1,83.53,114.7,3,0.23,63,24.48,86.62
P02848,Frozen Berries,Frozen,3,67.11,79.32,18,0.9,335,4.8,75.51
P02849,Bagel,Bakery,3,13.86,17.32,4,0.23,352,21.33,13.63
P02850,Frozen Fries,Frozen,1,22.18,33.09,1,0.41,259,24.36,25.03
P02851,Minced Beef,Meat,4,22.09,31.87,4,0.41,142,18.51,25.97
P02852,Bagel,Bakery,1,57.6,76.7,19,0.45,118,10.5,68.65
P02853,Cream,Dairy,4,61.76,69.05,16,0.52,365,8.52,63.17
P02854,Frozen Pizza,Frozen,5,25.63,33.38,9,0.95,270,8.7,30.48
P02855,Pork Chops,Meat,3,77.9,96.61,8,0.86,402,12.66,84.38
P02856,Donut,Bakery,4,22.22,28.81,15,0.41,110,10.26,25.85
P02857,Butter,Dairy,5,96.39,144.01,4,0.81,439,13.71,124.27
P02858,Bread,Bakery,2,37.46,44.33,17,0.81,471,7.56,40.98
P02859,Cream,Dairy,4,28.5,36.71,12,0.97,123,7.47,33.97
P02860,Apple,Produce,4,35.56,45.87,1,0.86,58,16.71,38.21
P02861,Tomato,Produce,1,64.45,86.95,4,0.95,188,17.25,71.95
P02862,Lettuce,Produce,4,97.24,114.21,5,0.52,188,16.77,95.06
P02863,Croissant,Bakery,1,93.14,104.98,6,0.89,129,16.29,87.88
P02864,Cream,Dairy,1,75.17,93.39,15,0.31,147,14.76,79.61
P02865,Bread,Bakery,1,15.09,20.76,19,0.87,149,6.72,19.36
P02866,Cream,Dairy,2,24.36,30.41,8,0.87,339,13.77,26.22
P02867,Milk,Dairy,5,53.44,71.95,4,0.96,482,12.36,63.06
P02868,Apple,Produce,3,58.96,75.84,19,0.78,295,5.13,71.95
P02869,Minced Beef,Meat,4,98.47,142.41,19,0.53,103,6.18,133.61
P02870,Banana,Produce,1,99.27,142.63,5,0.35,17,21.9,111.39
P02871,Croissant,Bakery,2,47.73,54.56,20,0.24,108,10.44,48.86
P02872,Bagel,Bakery,5,48.85,67.17,7,0.24,16,16.59,56.03
P02873,Lettuce,Produce,4,50.38,68.57,2,0.95,87,15.15,58.18
P02874,Milk,Dairy,5,40.17,56.92,13,0.91,222,6.06,53.47
P02875,Spinach,Produce,5,42.44,53.63,18,0.67,15,4.47,51.23
P02876,Bagel,Bakery,4,64.44,71.66,4,0.6,79,16.8,59.62
P02877,Donut,Bakery,1,12.34,15.85,20,0.57,107,8.67,14.48
P02878,Butter,Dairy,2,24.42,27.93,18,0.85,299,6.45,26.13
P02879,Cream,Dairy,4,89.61,122.05,16,0.31,71,10.41,109.34
P02880,Cheese,Dairy,3,88.31,122.22,9,0.79,415,12.54,106.89
P02881,Butter,Dairy,1,61.25,80.78,3,0.58,13,21.33,63.55
P02882,Pork Chops,Meat,3,32.04,35.93,5,0.86,398,14.91,30.57
P02883,Muffin,Bakery,2,26.53,30.71,13,0.21,185,15.96,25.81
P02884,Apple,Produce,5,34.29,38.85,1,0.67,166,17.22,32.16
P02885,Sausage,Meat,2,43.82,48.6,6,0.54,330,18.24,39.74
P02886,Muffin,Bakery,1,30.22,34.82,14,0.26,248,15.96,29.26
P02887,Frozen Vegetables,Frozen,5,12.17,18.11,5,0.42,186,16.47,15.13
P02888,Donut,Bakery,5,41.57,52.08,5,0.28,304,17.73,42.85
P02889,Cheese,Dairy,5,62.33,89.55,6,0.84,286,11.94,78.86
P02890,Pork Chops,Meat,5,82.21,119.53,9,0.58,229,12.03,105.15
P02891,Frozen Berries,Frozen,2,29.25,36.61,2,0.93,266,17.73,30.12
P02892,Frozen Vegetables,Frozen,3,51.06,56.65,8,0.55,346,15.45,47.9
P02893,Frozen Pizza,Frozen,5,19.86,22.1,10,0.7,300,10.2,19.85
P02894,Spinach,Produce,4,37.07,41.52,19,0.79,401,3.84,39.93
P02895,Ice Cream,Frozen,4,64.71,90.09,5,0.87,412,13.62,77.82
P02896,Croissant,Bakery,3,58.63,76.45,9,0.56,496,14.61,65.28
P02897,Cream,Dairy,2,20.55,27.32,17,0.53,150,10.08,24.57
P02898,Minced Beef,Meat,2,74.3,82.02,3,1.0,112,16.35,68.61
P02899,Minced Beef,Meat,1,42.34,52.14,7,0.81,11,16.26,43.66
P02900,Milk,Dairy,1,59.37,74.26,10,0.8,216,14.1,63.79
P02901,Minced Beef,Meat,5,20.01,22.05,17,0.62,403,5.67,20.8
P02902,Frozen Pizza,Frozen,1,32.69,41.27,1,0.22,498,26.07,30.51
P02903,Butter,Dairy,5,77.77,105.08,8,0.31,263,15.21,89.1
P02904,Carrot,Produce,5,70.59,104.33,19,0.78,388,2.73,101.48
P02905,Frozen Pizza,Frozen,4,10.8,15.32,11,0.44,441,12.99,13.33
P02906,Cream,Dairy,4,53.2,64.01,8,0.23,21,17.13,53.05
P02907,Frozen Fries,Frozen,5,34.96,41.52,14,0.29,59,10.89,37.0
P02908,Carrot,Produce,1,93.66,122.63,3,0.45,349,22.5,95.04
P02909,Frozen Fries,Frozen,3,72.49,89.3,5,0.81,422,15.36,75.58
P02910,Croissant,Bakery,1,27.02,32.53,1,0.25,114,25.8,24.14
P02911,Croissant,Bakery,3,47.16,52.44,11,0.5,304,13.65,45.28
P02912,Frozen Fries,Frozen,3,35.5,51.7,9,0.89,231,11.64,45.68
P02913,Minced Beef,Meat,1,18.59,24.54,9,0.9,379,13.95,21.12
P02914,Yogurt,Dairy,5,91.92,126.43,5,0.94,344,11.79,111.52
P02915,Lettuce,Produce,4,63.68,89.59,1,0.32,466,21.57,70.27
P02916,Minced Beef,Meat,1,57.78,75.13,3,0.6,362,21.15,59.24
P02917,Croissant,Bakery,4,30.47,44.64,7,0.53,91,15.18,37.86
P02918,Banana,Produce,4,11.57,14.09,6,0.7,405,14.4,12.06
P02919,Ice Cream,Frozen,5,73.11,83.56,4,0.75,490,14.25,71.65
P02920,Yogurt,Dairy,3,41.14,45.55,13,0.29,26,14.04,39.15
P02921,Butter,Dairy,5,25.56,28.68,14,0.53,37,8.73,26.18
P02922,Yogurt,Dairy,5,31.81,36.81,3,0.22,380,19.77,29.53
P02923,Apple,Produce,2,61.1,91.41,14,0.25,55,14.85,77.84
P02924,Spinach,Produce,3,95.19,131.95,1,0.6,229,20.25,105.23
P02925,Pork Chops,Meat,2,96.01,135.26,9,0.45,381,16.8,112.54
P02926,Cheese,Dairy,2,90.45,134.9,14,0.99,446,8.19,123.85
P02927,Bagel,Bakery,1,19.64,22.3,8,0.21,265,20.91,17.64
P02928,Tomato,Produce,3,54.26,62.92,8,0.48,225,16.08,52.8
P02929,Butter,Dairy,4,58.13,67.74,11,0.81,393,9.66,61.2
P02930,Carrot,Produce,2,45.48,67.98,17,0.51,224,10.26,61.01
P02931,Pork Chops,Meat,4,95.74,138.09,9,0.99,499,9.54,124.92
P02932,Frozen Berries,Frozen,4,86.71,110.71,9,0.83,160,10.98,98.55
P02933,Sausage,Meat,1,69.62,92.68,7,0.49,28,19.14,74.94
P02934,Chicken Breast,Meat,5,37.3,49.47,10,0.98,74,7.68,45.67
P02935,Banana,Produce,3,83.05,101.57,10,0.78,459,11.88,89.5
P02936,Fish Fillet,Meat,2,95.27,110.54,11,0.83,231,11.88,97.41
P02937,Donut,Bakery,3,24.73,29.74,6,0.21,214,20.01,23.79
P02938,Muffin,Bakery,1,78.98,90.07,20,0.59,110,8.49,82.42
P02939,Frozen Fries,Frozen,1,57.81,74.31,1,0.89,229,20.04,59.42
P02940,Banana,Produce,2,40.36,53.87,10,0.6,452,14.7,45.95
P02941,Ice Cream,Frozen,1,57.54,69.67,14,0.63,217,12.63,60.87
P02942,Pork Chops,Meat,1,41.26,47.01,4,0.99,103,16.89,39.07
P02943,Yogurt,Dairy,3,37.99,51.77,9,0.27,381,17.22,42.86
P02944,Apple,Produce,1,20.66,26.04,10,0.69,496,15.09,22.11
P02945,Frozen Berries,Frozen,1,84.14,100.62,5,0.28,383,22.53,77.95
P02946,Frozen Berries,Frozen,1,98.87,116.77,2,1.0,113,18.3,95.4
P02947,Cream,Dairy,4,59.57,79.64,20,0.93,35,1.83,78.18
P02948,Milk,Dairy,3,12.92,14.28,10,0.94,253,10.44,12.79
P02949,Yogurt,Dairy,1,77.52,100.66,4,0.67,248,19.77,80.76
P02950,Frozen Berries,Frozen,1,80.26,91.66,13,0.91,89,10.86,81.71
P02951,Donut,Bakery,1,74.96,90.2,19,0.72,442,8.07,82.92
P02952,Fish Fillet,Meat,3,88.06,129.32,4,0.26,500,21.06,102.09
P02953,Pork Chops,Meat,2,40.39,47.11,4,0.22,482,22.62,36.45
P02954,Lettuce,Produce,5,70.84,101.64,17,0.8,251,4.05,97.52
P02955,Carrot,Produce,5,78.44,108.72,15,0.29,222,10.14,97.7
P02956,Butter,Dairy,1,59.73,77.94,20,0.58,437,8.58,71.25
P02957,Apple,Produce,2,70.92,102.95,19,0.71,206,6.96,95.78
P02958,Bagel,Bakery,4,79.74,104.79,16,0.47,126,8.97,95.39
P02959,Butter,Dairy,4,60.37,68.97,1,0.35,156,21.3,54.28
P02960,Frozen Pizza,Frozen,5,42.97,53.32,17,0.23,96,9.18,48.43
P02961,Muffin,Bakery,2,81.86,94.46,13,0.97,93,9.12,85.85
P02962,Butter,Dairy,5,13.42,20.09,20,0.74,205,2.34,19.62
P02963,Frozen Vegetables,Frozen,4,33.36,45.59,1,0.51,236,19.86,36.54
P02964,Bread,Bakery,4,65.78,75.47,19,0.88,478,3.03,73.18
P02965,Croissant,Bakery,1,38.97,54.34,14,0.92,431,10.02,48.9
P02966,Carrot,Produce,1,10.4,15.3,7,0.36,33,20.31,12.19
P02967,Frozen Vegetables,Frozen,2,35.39,41.93,4,0.7,453,18.3,34.26
P02968,Lettuce,Produce,2,35.97,51.87,17,0.25,22,12.6,45.33
P02969,Cheese,Dairy,1,76.47,102.49,3,0.85,171,18.9,83.12
P02970,Spinach,Produce,2,19.08,27.95,13,0.58,196,12.63,24.42
P02971,Frozen Berries,Frozen,3,46.39,65.77,8,0.73,489,13.83,56.67
P02972,Frozen Vegetables,Frozen,2,37.89,43.05,1,0.46,429,22.71,33.27
P02973,Cheese,Dairy,4,47.86,67.36,5,0.59,429,16.14,56.49
P02974,Frozen Berries,Frozen,1,38.81,46.52,11,0.46,401,16.41,38.89
P02975,Yogurt,Dairy,5,79.34,116.02,16,0.46,60,7.86,106.9
P02976,Apple,Produce,5,43.49,57.63,17,0.28,195,8.73,52.6
P02977,Croissant,Bakery,4,86.87,117.78,20,0.57,126,5.07,111.81
P02978,Chicken Breast,Meat,2,36.61,44.56,12,0.82,226,11.22,39.56
P02979,Sausage,Meat,2,13.3,14.97,4,0.22,114,22.62,11.58
P02980,Cream,Dairy,4,21.03,26.37,9,0.8,256,11.25,23.4
P02981,Ice Cream,Frozen,4,69.81,78.5,4,0.59,167,16.89,65.24
P02982,Lettuce,Produce,1,79.87,116.25,10,0.86,440,13.56,100.49
P02983,Donut,Bakery,3,73.51,100.61,13,0.24,298,14.49,86.03
P02984,Banana,Produce,3,79.35,99.8,17,0.52,85,8.97,90.85
P02985,Minced Beef,Meat,5,56.46,68.89,2,0.56,229,17.46,56.86
P02986,Croissant,Bakery,1,50.08,72.96,7,0.32,494,20.67,57.88
P02987,Yogurt,Dairy,3,28.74,37.92,13,0.58,364,11.43,33.59
P02988,Banana,Produce,5,21.28,31.01,14,0.78,437,6.48,29.0
P02989,Fish Fillet,Meat,1,46.58,63.76,1,0.84,274,20.49,50.7
P02990,Frozen Berries,Frozen,5,71.15,83.28,11,0.82,408,8.37,76.31
P02991,Banana,Produce,1,41.22,45.76,17,0.95,319,7.5,42.33
P02992,Carrot,Produce,2,61.99,86.59,11,0.68,240,13.23,75.13
P02993,Pork Chops,Meat,1,38.28,52.55,11,0.53,39,15.78,44.26
P02994,Fish Fillet,Meat,5,89.37,116.17,11,0.48,91,11.43,102.89
P02995,Chicken Breast,Meat,5,73.4,81.55,17,0.41,442,7.56,75.38
P02996,Carrot,Produce,2,87.43,122.39,5,0.56,115,18.81,99.37
P02997,Spinach,Produce,2,25.79,35.01,16,0.28,399,13.08,30.43
P02998,Butter,Dairy,3,68.61,88.92,20,0.3,261,8.7,81.18
P02999,Butter,Dairy,2,15.15,18.45,20,0.91,200,4.41,17.64
P03000,Cheese,Dairy,3,85.34,107.67,18,0.39,201,9.39,97.56
P03001,Spinach,Produce,4,95.98,105.88,19,0.89,101,2.94,102.77
P03002,Spinach,Produce,2,77.22,115.67,19,0.84,17,5.79,108.97
P03003,Cheese,Dairy,2,71.07,85.81,3,0.25,289,23.1,65.99
P03004,Milk,Dairy,4,51.81,75.37,1,0.94,422,15.99,63.32
P03005,Butter,Dairy,2,50.11,70.73,11,0.75,491,12.6,61.82
P03006,Cheese,Dairy,5,27.85,32.69,15,0.35,479,9.6,29.55
P03007,Bagel,Bakery,5,30.15,34.53,15,0.33,152,9.78,31.15
P03008,Sausage,Meat,2,92.43,101.87,8,0.97,26,12.87,88.76
P03009,Pork Chops,Meat,3,15.48,22.48,20,0.78,428,4.38,21.5
P03010,Frozen Vegetables,Frozen,1,72.9,86.58,20,0.38,246,10.38,77.59
P03011,Carrot,Produce,2,58.68,66.59,19,0.29,208,10.74,59.44
P03012,Banana,Produce,1,36.86,51.93,14,0.25,435,16.05,43.6
P03013,Sausage,Meat,4,45.56,56.15,6,0.56,95,15.66,47.36
P03014,Frozen Vegetables,Frozen,3,97.95,130.79,9,0.7,330,13.35,113.33
P03015,Frozen Vegetables,Frozen,1,50.74,55.83,18,0.55,427,10.35,50.05
P03016,Butter,Dairy,4,99.43,139.34,1,0.34,289,21.39,109.54
P03017,Milk,Dairy,5,96.38,138.57,20,0.24,105,6.84,129.09
P03018,Cheese,Dairy,3,89.39,106.85,2,0.42,287,21.12,84.28
P03019,Frozen Pizza,Frozen,5,30.27,44.18,12,0.97,136,6.27,41.41
P03020,Apple,Produce,1,96.17,115.2,3,0.23,424,24.48,87.0
P03021,Muffin,Bakery,3,86.82,97.56,20,0.91,125,3.21,94.43
P03022,Muffin,Bakery,3,81.66,112.13,2,0.38,217,21.48,88.04
P03023,Frozen Fries,Frozen,5,82.77,100.48,7,0.7,396,12.45,87.97
P03024,Apple,Produce,2,36.51,43.76,6,0.67,77,17.07,36.29
P03025,Cream,Dairy,1,41.21,57.64,18,1.0,128,6.3,54.01
P03026,Yogurt,Dairy,3,77.74,88.33,19,0.25,409,9.9,79.59
P03027,Donut,Bakery,4,38.18,55.35,20,0.69,497,3.99,53.14
P03028,Milk,Dairy,2,31.85,41.36,7,0.26,245,20.01,33.08
P03029,Donut,Bakery,3,35.01,39.43,1,0.51,314,21.06,31.13
P03030,Bread,Bakery,5,28.28,36.18,20,0.99,60,0.09,36.15
P03031,Ice Cream,Frozen,2,45.6,51.55,8,0.28,200,19.08,41.71
P03032,Tomato,Produce,4,21.53,27.33,9,0.58,87,13.23,23.71
P03033,Frozen Berries,Frozen,3,44.48,64.89,5,0.76,465,15.81,54.63
P03034,Frozen Berries,Frozen,1,50.37,70.85,1,0.2,313,26.25,52.25
P03035,Tomato,Produce,5,91.21,111.84,5,0.42,107,16.47,93.42
P03036,Tomato,Produce,1,15.65,21.54,11,0.48,172,16.23,18.04
P03037,Cheese,Dairy,2,74.78,86.43,19,0.71,163,6.96,80.41
P03038,Tomato,Produce,1,56.57,72.22,19,0.57,81,9.42,65.42
P03039,Bagel,Bakery,5,97.64,122.03,9,0.89,88,9.24,110.75
P03040,Cream,Dairy,5,31.26,44.62,11,0.76,286,8.91,40.64
P03041,Cream,Dairy,2,76.24,113.42,10,0.82,257,12.72,98.99
P03042,Chicken Breast,Meat,4,54.34,68.08,19,0.36,116,7.71,62.83
P03043,Apple,Produce,5,63.06,83.45,12,0.28,456,12.48,73.04
P03044,Frozen Pizza,Frozen,2,40.63,56.34,10,0.97,150,11.37,49.93
P03045,Cream,Dairy,3,67.29,95.16,12,0.79,281,10.29,85.37
P03046,Tomato,Produce,5,25.46,35.9,14,0.77,254,6.57,33.54
P03047,Carrot,Produce,2,11.62,15.14,13,0.59,347,12.54,13.24
P03048,Ice Cream,Frozen,3,37.46,44.45,11,0.79,51,11.04,39.54
P03049,Frozen Berries,Frozen,2,59.99,70.13,12,0.21,64,16.71,58.41
P03050,Ice Cream,Frozen,3,75.64,103.28,13,0.33,462,13.68,89.15
P03051,Bagel,Bakery,2,59.72,70.2,9,0.9,340,12.75,61.25
P03052,Milk,Dairy,2,81.36,97.49,9,0.27,301,18.42,79.53
P03053,Ice Cream,Frozen,5,11.03,12.19,14,0.52,435,8.82,11.11
P03054,Chicken Breast,Meat,2,46.89,51.58,11,0.86,36,11.61,45.59
P03055,Frozen Vegetables,Frozen,4,27.48,30.96,10,0.72,19,11.22,27.49
P03056,Lettuce,Produce,1,14.49,20.35,19,0.38,199,11.13,18.09
P03057,Lettuce,Produce,5,25.99,30.26,15,0.27,496,10.32,27.14
P03058,Ice Cream,Frozen,4,86.7,119.47,14,0.97,487,5.97,112.34
P03059,Ice Cream,Frozen,4,53.73,59.9,13,0.42,66,11.67,52.91
P03060,Chicken Breast,Meat,4,97.81,141.64,13,0.43,372,11.58,125.24
P03061,Frozen Vegetables,Frozen,1,11.33,13.94,15,0.34,148,14.49,11.92
P03062,Chicken Breast,Meat,4,84.35,115.02,8,0.74,115,12.54,100.6
P03063,Carrot,Produce,1,11.12,16.4,20,0.41,374,10.11,14.74
P03064,Butter,Dairy,3,22.35,26.37,4,0.51,151,18.81,21.41
P03065,Bread,Bakery,2,51.38,66.05,13,0.62,254,12.27,57.95
P03066,Chicken Breast,Meat,4,87.28,103.28,9,0.68,102,12.33,90.55
P03067,Frozen Pizza,Frozen,3,89.2,126.98,16,0.46,184,10.26,113.95
P03068,Cream,Dairy,5,49.72,74.54,16,0.7,299,5.7,70.29
P03069,Apple,Produce,3,72.76,81.23,6,0.43,122,18.03,66.58
P03070,Pork Chops,Meat,3,79.43,89.84,16,0.33,147,11.43,79.57
P03071,Bagel,Bakery,3,81.65,106.18,13,0.66,239,10.71,94.81
P03072,Frozen Pizza,Frozen,2,42.3,51.49,18,0.5,125,9.6,46.55
P03073,Minced Beef,Meat,4,60.35,67.39,15,0.34,274,10.89,60.05
P03074,Pork Chops,Meat,1,68.76,102.57,1,0.68,126,21.93,80.08
P03075,Frozen Vegetables,Frozen,3,53.35,78.82,6,0.27,381,19.47,63.47
P03076,Croissant,Bakery,3,80.22,107.6,2,0.67,122,18.87,87.3
P03077,Fish Fillet,Meat,1,33.57,42.67,10,0.59,341,15.99,35.85
P03078,Chicken Breast,Meat,3,29.99,39.05,17,0.41,118,9.96,35.16
P03079,Chicken Breast,Meat,4,75.5,85.54,15,0.87,448,6.12,80.3
P03080,Bagel,Bakery,3,90.65,130.5,5,0.74,208,15.99,109.63
P03081,Carrot,Produce,5,93.22,136.15,3,0.49,162,17.34,112.54
P03082,Cream,Dairy,3,83.48,116.76,19,0.23,40,10.08,104.99
P03083,Carrot,Produce,4,93.21,108.76,4,0.21,274,20.31,86.67
P03084,Muffin,Bakery,1,72.78,98.98,18,0.51,158,10.71,88.38
P03085,Banana,Produce,4,77.76,98.86,11,0.92,126,8.67,90.29
P03086,Carrot,Produce,3,92.34,123.45,8,0.37,212,17.07,102.38
P03087,Sausage,Meat,2,12.0,15.14,4,0.64,79,18.84,12.29
P03088,Tomato,Produce,2,47.86,69.64,16,0.93,338,7.23,64.61
P03089,Bread,Bakery,5,11.45,14.94,17,0.72,230,4.77,14.23
P03090,Croissant,Bakery,5,78.39,107.43,2,0.51,394,17.91,88.19
P03091,Lettuce,Produce,4,28.39,38.95,6,0.76,365,13.86,33.55
P03092,Frozen Fries,Frozen,4,98.87,109.71,11,0.84,336,9.39,99.41
P03093,Bread,Bakery,3,61.39,70.94,4,0.76,40,16.56,59.19
P03094,Donut,Bakery,4,78.85,110.86,18,0.89,359,3.69,106.77
P03095,Chicken Breast,Meat,4,45.17,53.06,2,0.81,215,16.41,44.35
P03096,Lettuce,Produce,1,52.71,77.87,19,0.67,402,8.52,71.24
P03097,Frozen Fries,Frozen,1,70.56,93.61,18,0.94,261,6.84,87.21
P03098,Cream,Dairy,2,47.68,58.61,7,0.82,129,14.97,49.84
P03099,Chicken Breast,Meat,4,76.38,112.19,18,0.54,435,6.84,104.52
P03100,Donut,Bakery,3,25.45,33.97,6,0.22,377,19.92,27.2
P03101,Frozen Fries,Frozen,2,97.52,110.67,8,0.97,164,12.87,96.43
P03102,Frozen Pizza,Frozen,1,35.4,49.92,20,0.98,240,4.98,47.43
P03103,Butter,Dairy,5,26.17,35.25,18,0.55,11,5.55,33.29
